"史强","古筝行动","提出"
"汪淼","古筝行动","提供纳米飞刃材料"
"常伟思","古筝行动","总指挥官"
"伊文斯","古筝行动","在本次行动中被杀"
"罗辑","雪地计划","提出"
"弗雷德里克·泰勒","量子舰队计划","提出"
"曼努尔·雷迪亚兹","水星坠落连锁反应计划","提出"
"比尔·希恩斯","失败主义钢印计划","提出"
"罗辑","面壁计划","真实战略意图：建立黑暗森林威慑"
"弗雷德里克·泰勒","面壁计划","真实战略意图：利用球状闪电武器对人类舰队发动突然攻击使其量子化，用量子舰队来对抗三体。"
"曼努尔·雷迪亚兹","面壁计划","真实战略意图：在水星地层中埋藏大量的氢弹，一旦引爆会使整个太阳系变成比三体更加恶劣的地狱，以全人类的生命为筹码要挟三体。"
"比尔·希恩斯","面壁计划","研究思想钢印并向人类植入绝对失败主义的理念，让人类尽快逃离太阳系以避免与三体的正面接触。"
"章北海","增援未来计划","提出"
"三体人","染色计划","提出"
"三体人","神迹计划","提出"
"云天明","黑域计划","三个童话"
"云天明","掩体计划","三个童话"
"云天明","光速飞船计划","三个童话"
"云天明","阶梯计划","大脑被送至三体世界"
"程心","阶梯计划","送出云天明大脑"
